Year,Age,Gender,Educational Attainment,Personal Income,Population Count
2001/1/9 0:00,65 to 80+,Male,Bachelor's degree or higher,"H: 75,000 and over",212440
2001/1/9 0:00,18 to 64,Male,High school or equivalent,"C: 10,000 to 14,999",213345
2001/1/9 0:00,18 to 64,Male,High school or equivalent,"B: 5,000 to 9,999",216871
2001/1/9 0:00,18 to 64,Female,High school or equivalent,"C: 10,000 to 14,999",221787
2001/1/9 0:00,18 to 64,Male,No high school diploma,"B: 5,000 to 9,999",229865
2001/1/9 0:00,18 to 64,Female,High school or equivalent,"B: 5,000 to 9,999",234527
2001/1/9 0:00,18 to 64,Female,High school or equivalent,"F: 35,000 to 49,999",234705
2001/1/9 0:00,18 to 64,Male,"College, less than 4-yr degree","B: 5,000 to 9,999",235730
2001/1/9 0:00,18 to 64,Female,Bachelor's degree or higher,"A: 0 to 4,999",243154
2001/1/9 0:00,18 to 64,Male,No high school diploma,"F: 35,000 to 49,999",247159
2001/1/9 0:00,18 to 64,Female,No high school diploma,"B: 5,000 to 9,999",248027
2001/1/9 0:00,18 to 64,Male,Bachelor's degree or higher,"E: 25,000 to 34,999",251200
2001/1/9 0:00,18 to 64,Female,No high school diploma,"C: 10,000 to 14,999",255296
2001/1/9 0:00,18 to 64,Male,No high school diploma,"C: 10,000 to 14,999",278224
2001/1/9 0:00,18 to 64,Male,No high school diploma,"A: 0 to 4,999",280947
2001/1/9 0:00,18 to 64,Male,"College, less than 4-yr degree","C: 10,000 to 14,999",288174
2001/1/9 0:00,18 to 64,Male,High school or equivalent,"A: 0 to 4,999",296927
2001/1/9 0:00,18 to 64,Male,No high school diploma,"E: 25,000 to 34,999",307653
2001/1/9 0:00,18 to 64,Female,Bachelor's degree or higher,"D: 15,000 to 24,999",311511
2001/1/9 0:00,18 to 64,Female,High school or equivalent,"E: 25,000 to 34,999",318602
2001/1/9 0:00,18 to 64,Female,Bachelor's degree or higher,"E: 25,000 to 34,999",320129
2001/1/9 0:00,18 to 64,Female,"College, less than 4-yr degree","B: 5,000 to 9,999",345944
2001/1/9 0:00,18 to 64,Female,"College, less than 4-yr degree","G: 50,000 to 74,999",347119
2001/1/9 0:00,18 to 64,Male,High school or equivalent,"G: 50,000 to 74,999",350784
2001/1/9 0:00,18 to 64,Female,No high school diploma,"D: 15,000 to 24,999",359624
2001/1/9 0:00,18 to 64,Male,Bachelor's degree or higher,"F: 35,000 to 49,999",366170
2001/1/9 0:00,18 to 64,Female,"College, less than 4-yr degree","C: 10,000 to 14,999",370518
2001/1/9 0:00,18 to 64,Male,"College, less than 4-yr degree","E: 25,000 to 34,999",375408
2001/1/9 0:00,18 to 64,Female,"College, less than 4-yr degree","A: 0 to 4,999",387007
2001/1/9 0:00,18 to 64,Male,"College, less than 4-yr degree","D: 15,000 to 24,999",392488
2001/1/9 0:00,18 to 64,Male,High school or equivalent,"E: 25,000 to 34,999",440200
2001/1/9 0:00,18 to 64,Female,High school or equivalent,"D: 15,000 to 24,999",450205
2001/1/9 0:00,18 to 64,Female,"College, less than 4-yr degree","E: 25,000 to 34,999",454455
2001/1/9 0:00,18 to 64,Female,"College, less than 4-yr degree","F: 35,000 to 49,999",459975
2001/1/9 0:00,18 to 64,Male,High school or equivalent,"F: 35,000 to 49,999",481130
2001/1/9 0:00,18 to 64,Male,"College, less than 4-yr degree","F: 35,000 to 49,999",486983
2001/1/9 0:00,18 to 64,Female,Bachelor's degree or higher,"F: 35,000 to 49,999",495664
2001/1/9 0:00,18 to 64,Male,High school or equivalent,"D: 15,000 to 24,999",503750
2001/1/9 0:00,18 to 64,Female,High school or equivalent,"A: 0 to 4,999",519946
2001/1/9 0:00,18 to 64,Male,"College, less than 4-yr degree","H: 75,000 and over",521502
2001/1/9 0:00,18 to 64,Male,No high school diploma,"D: 15,000 to 24,999",534542
2001/1/9 0:00,18 to 64,Male,"College, less than 4-yr degree","G: 50,000 to 74,999",584200
2001/1/9 0:00,00 to 17,Male,No high school diploma,"A: 0 to 4,999",629969
2001/1/9 0:00,18 to 64,Female,"College, less than 4-yr degree","D: 15,000 to 24,999",647024
2001/1/9 0:00,00 to 17,Female,No high school diploma,"A: 0 to 4,999",648149
2001/1/9 0:00,18 to 64,Female,No high school diploma,"A: 0 to 4,999",654156
2001/1/9 0:00,18 to 64,Female,Bachelor's degree or higher,"H: 75,000 and over",682401
2001/1/9 0:00,18 to 64,Male,Bachelor's degree or higher,"G: 50,000 to 74,999",682775
2001/1/9 0:00,18 to 64,Female,Bachelor's degree or higher,"G: 50,000 to 74,999",767013
2001/1/9 0:00,18 to 64,Male,Bachelor's degree or higher,"H: 75,000 and over",1497839
2001/1/10 0:00,00 to 17,Female,High school or equivalent,"E: 25,000 to 34,999",1048
2001/1/10 0:00,00 to 17,Male,Bachelor's degree or higher,"H: 75,000 and over",1192
2001/1/10 0:00,00 to 17,Male,"College, less than 4-yr degree","D: 15,000 to 24,999",1434
2001/1/10 0:00,00 to 17,Male,"College, less than 4-yr degree","E: 25,000 to 34,999",1447
